City Name,Places to Visit in the city,State,Country,Weather,Best time,Ideal duration,About,Nearest Airport,Upcoming events,More on City,How to reach
Nrityagram,"Temple of Dedication,Amphitheatre,Dance Gurukuls,Gardens,",Karnataka,India,24.11 deg C,"Feb-Apr, Oct-Dec",1 day,"Nrityagram is a dance village is located near Hesarghatta in In Protima Gauri's own words, ""it is a community of dancers in a forsaken place amidst nature. A place where nothing exists, except dance. A place where you breathe, eat, sleep, dream, talk, imagine - dance. A place where all the five senses can be refined to perfection. A place where dancers drop negative qualities such as jealousy, small-mindedness, greed and malice to embrace their colleagues as sisters and support each other in their journey towards becoming dancers of merit"". Apart from the exceptional dance, other offerings of this place is the beautifully made village - made up of mud houses, greenery and open spaces gives a pleasing feeling to the visitors and habitants alike. A visit to Nrityagram would also give you the chance to explore the Hessarghatta Reservoir. It lies five kilometers away from the dance village.",Bangalore,N/A,"Nrityagram, located near Hesarghatta Lake, is at the distance of thirty kilometres away from Bangalore, based in the Indian state of Karnataka. It is the first modern residential school in India and only imparts education, both theory and practical, on the subjects of various Indian classical dance forms. Nrityagram is a community which takes the form of a dance village. It was formed and set up by an Odissi dancer Protima Gauri in the year 1990.   Training in several Indian classical dance forms like that of Bharatnatyam, Mohiniattam, Kathak, Odissi, Kathakali, Manipuri and Kuchipudi is offered here. Nrityagram was designed by Gerard da Cunha, who was an immensely famous Indian architect. It follows the old Indian student - teacher tradition. Nrityagram also sends dance troupes to perform on a global level and has been doing this since the year 1996.The local food here is predominated by South India cuisine.","Nrityagram does not have its own railway station, airport or bus station. It is not directly connected to any other town or city by any means of transport. The nearest airport and railway station are situated in Bangalore. You can easily hire a taxi or catch a bus from Bangalore to reach Nrityagram. The closest airport is the Bangalore International Airport located in Bangalore, which is at the distance of thirty-four kilometres from Nrityagram. From here you can hire a taxi or catch a bus or take a train to Nrityagram. Kempegowda International Airport (BLR) Tentative return flight prices to Bangalore from major cities in India: From Bangalore, take the National Highway 4 also known as Tumkur Road. After crossing, Yeshwantpur and Peenya on the way, follow the signs towards Hessaraghatta road. Once there, you'll see sign boards for Nrityagram. Nrityagram doesn't have a railway station; the nearest one is the Bangalore Railway station situated 27 km from Nrityagram. Taxis and buses are easily available from the railway station to take you to Nrityagram."
Koh-Nang-Yuan,N/A,N/A,Thailand,30.34 deg C,December - August,1 Day,"The picturesque island of Koh Nang Yuan is a group of three tiny landforms connected to each other by stretches of blinding white sand. It is located in the Gulf of Thailand towards Northwest of Koh Tao just 15 minutes away. The island is full of greenery and is surrounded by turquoise blue waters. The lush greenery and the coral blue along with white sandbars create a picturesque sight like something straight out of a movie or a postcard. The island poses as a perfect destination for a day trip, but if you are looking to have a more relaxing experience amidst all the serenity, it is recommended you stay overnight. The beaches are the centre of attraction on the island. The water is extremely clear and looks blue in colour due to the deposition of corals underwater.",Chumphon Airport,N/A,"The island has an entry fee of 100 Bahts. This is compulsory and there is no way to escape it. For day-trippers the island opens at 9 am in the morning and is closed by 5 pm. Except for the people staying in the resort, tourists are not allowed on the island after 5 pm.","From Bangkok, the easiest and the fastest way is through air, from Bangkok to Chumphon airport. From Chumphon, you can take a ferry to Koh Tao and then a long tail boat taxi can be taken to the island of Koh Nang Yuan."
Muscat,"Mutrah Corniche,Bayt Al Zubair,Grand Mosque, Muscat,Mutrah Souk,Al Mirani Fort,Sultan's Palace,Royal Opera House,Bimmah Sinkhole,Amouage Perfumery,Wadi Bani Khalid,Al Jalali Fort,Muscat City Centre,Yiti Beach,Qurum Beach,Al Alam Palace,",N/A,Oman,32.27 deg C,November to mid-March,2 days,Muscat has always been a major port in the Gulf of Oman. This city has served as an integral trading link between the east and the west and Muscat is influential widely.,Muscat,N/A,"Muscat has the maximum number of bars anywhere in Oman. There are some upscale bars in the hotels and some English styled pubs. However drinking is not cheap at these bars. Nightlife is not very popular there except for the Rock Bottom Caf_ and the Copacabana.For local shopping experiences tourists can visit souks like - Muttrah Souk and Souk Al Dham. For luxury shopping tourists can go to Al Araimi Complex, Muscat Grand Mall and Bareeq Al Shatti.Rial is the name of the local currency here. It is divided into 1000 baisa. Earlier INR and Maria Theresa Thaler used to be the popular currency. In 1973, the rial Omani was introduced.1 INR =  0.01 OMRThe average daily budget for a tourist in Oman would be around 8000 -9000 OMR.Shi'a Muslims are the majority of the people but Muscat has a strong Hindu community.Muscat has no special customs that need to be observed.The official language is Arabic. However Urdu and Hindi are also widely spoken in some areas. English is also a viable means of communication.Muscat probably saw its first communal activities in the 6th millenium BCE. However over periods of time it has been ruled by various indegenous tribes as well as major empires like the Persians, Portuguese and the Ottomans. In the 18th century when Muscat was a regional military power its influence was very widespread.In fact it spread upto East Africa and Zanzibar. Ever since 1970 Muscat has experienced rapid growth and modernisation.","Muscat is accessible through air and land. Oman National Transport company runs buses to Muscat from Dubai and Abu Dhabi. Gulf Air, Emirates, Etihad Airways, British Airways, Air India Express, Lufthansa, KLM. Most major flights fly to Muscat. Tentative return flight prices to Muscat from major cities in India: It is a five hour journey from the UAE to Muscat and a six hour journey through Yemen. Then a further 10 hour journey to Muscat."
Bhimashankar,"Bhimashankar Wildlife Sanctuary,Bhimashankar Temple,Bhimashankar Trek,Hanuman Lake,Ahupe Waterfalls,",Maharashtra-Goa,India,20.14 deg C,Nov-Feb,1-2 days,"Bhimashankar, located about 100 km from Pune and 223 km from Bhimashankar is located in the village Bhorgiri in the ghat region of the Sahyadri range. Situated at an height of around 3,250 feet, Bhimashankar is surrounded by hills and is covered by thick green rainforests. Legend has it that the name Bhimashankar was originated from the river Bhima which evaporated due to the generated between the war of Lord Shiva and the demon Tripurasura. It is considered to be one of the holiest places in India because of the jyotirlinga. Bhimashankar is also a popular destination for trekkers. Bhimashankar Wildlife Sanctuary is another important reason why people come here.",Pune,N/A,"Bhimashankar is situated at a height of 3,250 feet. The lush green forests, mountains surrounding it and the steep slopes make it famous for trekking. There are two routes to reach Bhimashankar temple which is famous amongst trekkers. Both of them start from the base village of Khandas. To reach Khandas, you first need to board a train to Karjat Station which is around 40 Km away from Khandas. From the station, you can easily reach the village through buses or tumtums.  The two trekking routes are- Ganesh Ghat and Shirdi route. The former is long but very easy. You can choose this one if you are a novice. This route takes around six hours. You will also pass by a Ganesh Temple in between. The second route is short but, is not a cakewalk. The slopes are steep and therefore you will have to use a ladder for some parts. This route takes around three to four hours. If you are a great fan of trekking, make sure to visit Bhimashankar to have a thrilling experience.The local cuisine here is dominated by Maharashtrian food with a blend of south and north Indian cuisine. This place is known for its spicy food of curries and fries.","Bhimashankar is connected to many cities via roads. Regular bus services and taxis operate on this route. The nearest airport is the Pune airport. It is well built and connected to prominent cities of India. The nearest railway station is Karjat station. The distance between the station and Bhimashankar is 168 Km. So, it takes two hours to reach. There is no airport in Bhimashankar. The nearest airport to it is the Pune Airport. It takes roughly two and half hours to reach Bhimashankar from the airport. The Pune airport is well connected to all major cities of India via airlines like Jet Airways and Indigo. From the airport, you can easily hire a taxi/cab to reach the city. New Pune International Airport Tentative return flight prices to Pune from major cities in India: Bhimashankar is accessible through a good network of roads. There are various bus and taxi services operating between Bhimashankar and nearby cities. This is the most convenient option if you want to travel from neighbouring cities. As per your budget, you can choose between a plethora of bus operators. Bhimashankar does not have its own railway station. The nearest railway station is the Karjat station which is located at a distance of around 168 Km. The station is connected to many cities via direct and indirect trains. So, it takes two hours to reach Bhimashankar from the station. You can easily hire a bus or rickshaws, also known as tumtums."
Neemrana,"Neemrana Fort Palace,Zip Lining,Baori,Sariska National Park,Shopping in Neemrana,Bala Quila, Alwar,",Rajasthan,India,34.33 deg C,Jul-Mar,1 day,"Neemrana town is located in The fort has been restored and developed for the people to enjoy amalgamation of history and modernity. To spend a peaceful and magical weekend getaway near Delhi, Neemrana provides heritage, celebrations and colours that is surrounded by the beauty of nature, where each silent big wall shouts out loud its different heroic story. Neemrana is very popular among Delhi crowd as a perfect place to visit just for a day to enjoy the heritage resort and also the activities including zip-lining, swimming, etc.",Delhi,N/A,"All those who come for a luxurious retreat at Neemrana do not miss the wildlife beauty at Sariska wildlife sanctuary. The reserve is sprawled over an area of  866 sq km and houses an exquisite variety of flora and fauna. Set amidst the Aravalli hills the reserve was previously the hunting spot for the Maharaja of Alwar before it was transformed into a wildlife refuge in the year 1955.  Today, it is known amongst the most famous Tiger reserves of India. Wildlife safari amidst the woods of Sariska is a great experience in itself. The wildlife serves as a home to various species such as Indian Leopard, Jungle Cat, Nilgai, Chital, Sambhar, out of all Bengal Tiger being the pride of the reserve. Sariska is a must-have experience in Rajasthan.Neemrana, being located in Rajasthan has predominantly North Indian colorful, spicy and unique dishes. However, most commonly available food in Rajasthan would be Dal-Bato-Churma, Mirchi Bada and pyaaj Kachori. Most Rajasthani families abstain from meat eating and are strict vegetarians, not only due to the costs incurred but also due to religious dictates. Neemrana fort serves special veg and non veg thali. Papar and pickles are the must add on in every dish to make the food heavenly.","The most convenient way of travelling to Neerama is by road as it does not have an airport or railway station of its own. The nearest airport is in Delhi and the nearest railway station is at Rewari. The nearest airport from Neemrana is Delhi airport, which is 109 km away from the fort. One can hire a taxi from the airport to reach here. Indira Gandhi International Airport (DEL) Tentative return flight prices to Delhi from major cities in India: Neemrana is situated on the Delhi-Jaipur Highway. All buses running on this route has a stop at Neemrana. However, It would be more convenient if one hires a taxi or drives on its own over there, since the fort is 3 km inside from the Main road. Rewari is the nearest Railway station which is about 38kms from the fort. Major railway station near Neemrana is 117 km away in New Delhi junction."
Igatpuri,"Bhatsa River Valley,Camel Valley,Tringalwadi Fort,Ghatandevi Temple,Kalsubai Peak,Vipassna Centre,Kulangadd Trek,Bitangad Trek,Sandhan Valley,",Maharashtra-Goa,India,21.84 deg C,Jul-Sep,1 day,"Igatpuri is blessed with picturesque beauty and is a heaven for nature lovers and adventure enthusiasts. It also has some of the highest peaks of the Sahyadri range. Igatpuri is also a major railway station in Maharashtra connecting surrounding major cities. Igatpuri is a hill station and a city in the Western Ghats located in the Nashik district of Maharashtra, 130kms from Mumbai, on the Mumbai-Agra National Highway.",Mumbai,N/A,"Igatpuri has its religious significance left to present, along with the natural beauty sprinkle. Set against the backdrop of the mountains of Durvar Utvad, Trimak and Harihar, Ghantadevi Temple is believed to be the protector of the ghats. You could also visit a very ancient Hemadpanti style temple (since 11 A.D.), Amruteshwar Temple. Igatpuri also houses one of the twelve Jyotirlingas of the world - the Trimbakeshwar Temple. Embodying the three deities of Lord Brahma, Vishnu and Mahesh, in its three faces, it dots on the foothill of the Brahmagiri mountain, on which originates the Godavari River.Igatpuri is a perfect destination for a weekend getaway. It is also bestowed with a cultural and historical significance of its own. Dhammagiri, translating to 'hill of Dhamma', is one of the largest Vipassana centres in the country. This insight meditation centre offers courses in Vipassana and is the most visited destination in Igatpuri. For photographers and nature lovers, Igatpuri offers Bhatsa River Valley, Camel Valley, Konkankada valley and the Randha falls, decorated with rivers and waterfalls. For trekkers, Igatpuri houses Trngalwadi Fort, placed at an altitude of 3000ft. You can cherish a mesmerising view from the fort.The local cuisine here is the dominated by Maharashtrian food with a blend of South and North Indian cuisines. From Idli-Dosa to Parathas and Tandooris, you can find them all here. Vada Pav is a specialty of this region and is a must have.","Igatpuri is well-connected via air, rail and road. However, more convenient through rail and road. The nearest airport to Igatpuri is Chhatrapati Shivaji International Airport, Mumbai which is distanced at 135 km. Igatpuri has its own railway station which makes it easily accessible from different states in the country. NH-3 connects it directly to Agra and therefore surrounding cities. Mumbai (135 km), Aurangabad (236 km), Pune (238 km) are the nearest airports to Igatpuri. Taxis are readily available to reach Igatpuri. You could take a local train or a bus too. Chhatrapati Shivaji International Airport (BOM) Tentative return flight prices to Mumbai from major cities in India: NH-3 connects Igatpuri directly to Agra and therefore surrounding cities. You can either drive directly to Igatpuri or reach Kasara and then take a bus to Igatpuri. There are regular trains from Mumbai going towards Igatpuri. Kasara bound local train is as far as the local trains go, you can get down at Kasara and take a bus to Igatpuri or take a long distance train from Kasara to Igatpuri."
Surin,N/A,N/A,Thailand,33.21 deg C,November to March,1-2 Days,N/A,Buriram Airport ,N/A,"A lot of what is seen in Surin today can be traced back to the Khmer civilisation which is also known as Khmer-Surin. This ethnic group is known to have existed and lived in Thailand since the pre-Angkor era, even longer than the Thais. As a result, a lot of culture and history can be derived from Khmer. 
Their lives primarily revolve around rice, timber and silk. Due to frequent droughts and lack of groundwater in this region, Khmer mainly focus on small scale agriculture and live on soup and Prohok. Being influenced by Thai religion, the ethnic group follows Buddhism and believes in witchcraft and sorcery. Having said that, the rapid tourism that has spread across Northern Thailand has led to Surin turning into a more contemporary city that attends to both traditional Khmer and modern Thai ideas.",
Wayanad,"Banasura Dam,Wayanad Wildlife Sanctuary,Edakkal Caves,Chembra Peak,Stay in a Treehouse,Soochipara Falls,Vythiri,Kuruva Dweep,Sulthan Bathery,Pookot Lake,Kanthanpara Waterfall,Chain Tree,Pakshipathalam Bird Sanctuary,Thirunelli Temple,Lakkidi Viewpoint,Banasura Hill,Neelimala Viewpoint,Wayanad Heritage Museum,Chethalayam Waterfalls,Palchuram Waterfalls,Poopoli Wayanad Flower Show,Meenmutty,Karapuzha Dam,Muthanga Wildlife Sanctuary,Thirunelly Temple,Valliyoorkavu Bhagavathy Temple,Pallikunnu Church,Kalpetta,Puliyarmala Jain Temple,Koottamundu Glass Temple,Varambetta Mosque,Thrissilery Shiva Temple,Seetha Devi Temple,",Kerala,India,21.66 deg C,Throughout the year,1-2 days,"Replete with enchanting waterfalls, historical caves, comfortable resorts and home stays, this popular town is famous for its spice plantations and wildlife. Among the prettiest areas of",Calicut,"Adventure activities at Soochipara Falls,Poopoli Wayanad Flower Show,","Wayanad, also known as the village of paddy fields antecede to Paleolithic civilization which is approximately 800 years old. Also, Edakkal caves in the district constitute 6000 years old engravings from Neolithic civilizations. In addition to this, there is archaeological evidence which proves that forests of Wayanad have been inhabited for more than 3000 years.
Wayanad was ruled by rulers of several dynasties like the Kutumbiyas, Kadambas, Hoysalas, Vijayanagara empire etc. Amongst all the important Rajas, Pazhassi Raja of ancient Kottayam was the most powerful ruler of Wayanad. He lost his kingdom to Tipu Sultan. During the rule of Tipu Sultan, the place flourished and grew. However, it did not last long as the British East India Company was mushrooming their control across the country. In the year 1799, British took over Wayanad and encouraged wealthy crop production. Therefore, over the years tea, coffee and spices were cultivated on the fertile soils of Wayanad. At the time of colonial rule,  a lot of infrastructural development took place in Wayanad.
Earlier, Wayanad was a part of both Kerala and Karnataka. Hence, a significant percentage of the population speaks Kannada. However, the principal languages spoken are Malayalam and English. Later in November 1980, it was declared as the 12th district of Kerala formed out of land cravings of Kannur and Kozhikode. From the historical times, the place is popular for its natural beauty, rich flora and fauna and picturesque views.Wayanad is a place with greenery and favourable climate which facilitates the existence of flora and fauna here. This place is a home to Wayanad Wildlife Sanctuary which is also the haven of White-rumped Vultures. Wayanad Wildlife Sanctuary, an integral part of Nilgiri Biosphere Reserve and the protected areas of Nagarhole and Bandipur is one of the residences of Wayanad’s wildlife. Its rich fauna includes animals like jungle and civet cats, panthers, monitor lizards, peacocks, babblers, cuckoos, woodpeckers, wild dogs, tigers, bears, deer and vultures. The green sheet of thick forests with supporting flora proliferates the growth of fauna in that region. Protecting elephants is one of the principal motives of the forest department of Kerala. White-rumped vultures continue to persist in this area. Although, their number keeps on decreasing over the years.If you haven't seen Wayanad through the eyes of a trekker, then take this, you have missed it all. Wayanad not only houses the wildlife reserve but the jaw-dropping sceneries of the Western Ghats and the lush green forests are equally delightful to watch. The most sought-after trek in Wayanad is the trek to Chembra Peak, which houses a natural heart shaped lake, 'hridhayathadakam'. Further, treks to Lakkidi viewpoint, also known as Getaway to Wayanad, the ancient Edakkal caves, and Neelimala view point famous for the Meenmutty falls.Wayanad is best known for the wildlife reserves- Wayanad wildlife reserve which is a home to an exquisite variety of flora and fauna. Wayanad wildlife reserve is an integral part of the Nilgiri biosphere reserve peacefully located amidst the serene hills of Western Ghats. Wayanad homes a huge variety of wildlife, amongst them elephants, leopards, and bears remain the eye-candy for the wildlife seekers. Watch out for the in numerous birds filling the environment with their chirping and the reptiles and insects in every nook and corner of the sanctuary.A blend of influences from Arab, Brahmin, Zamorin, and Chirakkal food cultures makes Wayanad a flavorsome hot-pot. The North of Wayanad is also popular for its Konkani fares. Some of the must try dishes here are","Kozhikode has the nearest airport and railhead 90 kms away. Good roadways also allow for a long drive or a bus trip from Kozhikode or a any other South Indian city. Numerous taxis take off the travel anxiety. Nearest airport to Wayanad is Calicut International airport (Kozhikode airport) located at a distance of 93 km from Wayanad. From here on, you can either hire a direct tax or a local bus to Wayanad. Calicut Tentative return flight prices to Calicut from major cities in India: Wayanad is well connected with the nearby cities of South India such as Bangalore, Coimbatore, and Kozhikode. You can catch a public bus, hire your own cab or self-drive to Wayanad. Nearest railway station to Wayanad is Nilambur railway station in Kerala if you are travelling from the upper region of the country. It is situated at a distance of 90 km from Wayanad. The bigger railway station is the one in Kozhikode. It is located at a distance of 110 km. To cover the rest of the journey you can hire a can or catch a direct bus to Wayanad."
Dholavira,"Sightseeing,",Gujarat,India,31.14 deg C,Oct-Mar,1 day,"One of the most remarkable excavations of the Indus Valley Civilization, Dholavira was one of the most developed civilization roughly 4500 years ago and makes an equally enchanting tourist destination today Archaeological and excavation sites almost define the tourism in Dholavira. One can visit this town in Gujarat for witnessing history's share of architectural marvels and be flattered by one of the most significant and popular sites of the Indus Valley Civilization. An experience borrowed from history will charm you as much as any other destination with scenic beauty or modern day attractions. One can also visit the",Bhuj,N/A,"A century-old walled - stretching for miles with images scratched to the very bottom of the desert, the excavations in Dholavira has revealed landmarks such as the ground of desert and stones arranged circularly. The excavations reveal the significance of successive settlements in there at the site for over 1500 years. The striking revelations of the Indus valley civilisations in Harappan cities have proved that the holes drilled into past in Dholavira has provided a perspective to present day ideologies. The ancient site lies on the island of Khadir which is surrounded by the salt waste of Rann of Kutch. As most of the excavations discovered constructions related to water, 100 hectares of land were found with the remains of it. The cityscape consisted of a bipartite 'citadel', 'middle town' and 'lower town', two 'stadia', an 'annex', which hosts a series of reservoirs all set within a fortification that runs on all the four sides. Interestingly, in the inner parts of the city, too, there was a system of fortifications. The results of excavations concluded that the city was constructed like a parallelogram boldly outlined by massive walls with their longer axis stretching from the east to west. The sites are still being studied and explored by archaeologists and indeed has added a personality to the Indus and Harappan civilisations.","Bhuj Airport (BHJ) Tentative return flight prices to Bhuj from major cities in India: The most convenient way to reach Dholavira is by road as they are in an excellent condition. You can hire cabs from Bhuj, but the distance is very long. You get buses from Bhuj to Rapar, which is the nearest major town to Dholavira and takes about five hours to reach. From Rapar, you get government run and private buses to Dholavira which takes another three hours. The buses are available from early morning to late evening. There is no direct rail connectivity to Dholavira. Bhuj railway station is the nearest railway station to the site, 219 km away from the same. Taxis can be hired from the railway station to travel to Bhuj. Stations like Samkhiala Junction and Bhachau are very close to Rapar. All the Bhuj bound trains from different parts of India stop here. From these stations, you can get a bus to Rapar and then to Dholavira."
Nahan,"Renuka Lake,Suketi Fossil Park,Trekking in Nahan,Jaitak Fort,Churdhar Peak,Dhaula Kuan,Rani Tal,Fishing,Simbalwada Wildlife Sanctuary,Mall Road,Jaggannath Temple,Renuka Wildlife Park,Rajbans/Sirmouri Tal,Shopping in Nahan,Giri Nagar,Jamu Peak,Chaugan Road,Trilokpur Temple,Kangojodi,Nahan Bada Bazaar,",Himachal-Pradesh,India,30.37 deg C,Apr-Sep,1-2 days,"Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination. Nahan has its past spun around many tales and legends. Founded by Raja Karan Prakash in 1621 as a capital, it is believed that this town derives its name from a sage named Nahar who lived at the same site where this town stands today. As per another version, the town gets its name from an incident where the king who was trying to kill a lion was stopped by a saint named Baba Banwari Das who said Nahar meaning 'don't kill'. The quaint town today, is dotted with gardens, temples and a manmade lake. Visit Nahan, a cantonment town of Himachal for an unforgettable experience.",Chandigarh,"Navratri Fair,","Nahan celebrates many festivals with great enthusiasm. Out of many festivals, there are top three that are celebrated with the utmost passion. Vaaman Dwadshi is celebrated towards the end of monsoon. In this festival, fifty-two cult images of the local Gods are carried in a procession to the temple of Jagannath. There is a pool there, and the images are floated ceremoniously in it. They are restored to their niches at midnight.   Gugga Peer Fair is a local fair celebrated in honour of Gogaji or Gugga. Gugga is a folk deity of Rajasthan and is an eminent warrior hero of Nahan. Gugga is a God worshipped by both Hindus and Muslims. He has many names and forms. He is also believed to be a saint and also a snake god. He is known as Goga amongst the Hindus and as Jahar Peer amongst the Muslims. Kaimkhani Muslims believe that they are his descendants. Two days before Dussehra another fair is organised by Gram Panchayat. This fair is known as Jamta Fair.Nahan being a small town has few eating joints and restaurants. Apart from local Himachal food, this town also offers food in many cuisines including North-Indian and Chinese etc.","Nahan is a city in Himachal Pradesh. Although it is a tourist spot it has no Railway Station or Airport. The city has good roads. Buses and taxis are easily available. State buses are good, comfortable and reasonable. The nearest airbase to Nahan is Chandigarh Airport which is located around 50 km away. Dehradun and Shimla Airport can also be opted for. You can hire a taxi from these cities to travel to Nahan. Also, buses run regularly on this route. Chandigarh Airport (IXC) Tentative return flight prices to Chandigarh from major cities in India: You can travel to Nahan from many directions by road. A route can be taken via Dehradun passing Ponta Sahib on the way, via Solan from Shimla and through Kala-Amb from Haryana. However, the shortest way while commuting from Delhi will be via Saha. Regular buses services can be availed that link the neighbouring cities and states to Nahan. The nearest railway stations to Nahan are Kalka, Barara, Chandigarh and Ambala. You can also get down as Yamunanagar station. Regular bus service connects these stations to Nahan."
